date,equity,cash,num_positions
2025-01-17,20000.0,20000.0,0
2025-01-21,20000.0,20000.0,0
2025-01-22,20000.0,20000.0,0
2025-01-23,20000.0,20000.0,0
2025-01-24,20000.0,20000.0,0
2025-01-27,20000.0,20000.0,0
2025-01-28,20000.0,20000.0,0
2025-01-29,20000.0,20000.0,0
2025-01-30,20000.0,20000.0,0
2025-01-31,20000.0,20000.0,0
2025-02-03,20000.0,20000.0,0
2025-02-04,20000.0,20000.0,0
2025-02-05,20000.0,20000.0,0
2025-02-06,20000.0,20000.0,0
2025-02-07,20000.0,20000.0,0
2025-02-10,20000.0,20000.0,0
2025-02-11,20000.0,20000.0,0
2025-02-12,20000.0,20000.0,0
2025-02-13,20000.0,20000.0,0
2025-02-14,20000.0,20000.0,0
2025-02-18,20000.0,20000.0,0
2025-02-19,20000.0,20000.0,0
2025-02-20,20000.0,20000.0,0
2025-02-21,20000.0,20000.0,0
2025-02-24,20000.0,20000.0,0
2025-02-25,20000.0,20000.0,0
2025-02-26,20000.0,20000.0,0
2025-02-27,20000.0,20000.0,0
2025-02-28,20000.0,20000.0,0
2025-03-03,20000.0,20000.0,0
2025-03-04,20000.0,20000.0,0
2025-03-05,20000.0,20000.0,0
2025-03-06,20000.0,20000.0,0
2025-03-07,20000.0,20000.0,0
2025-03-10,20000.0,20000.0,0
2025-03-11,20000.0,20000.0,0
2025-03-12,20000.0,20000.0,0
2025-03-13,20000.0,20000.0,0
2025-03-14,20000.0,20000.0,0
2025-03-17,20000.0,20000.0,0
2025-03-18,20000.0,20000.0,0
2025-03-19,20000.0,20000.0,0
2025-03-20,20000.0,20000.0,0
2025-03-21,20000.0,20000.0,0
2025-03-24,20000.0,20000.0,0
2025-03-25,20000.0,20000.0,0
2025-03-26,20000.0,20000.0,0
2025-03-27,20000.0,20000.0,0
2025-03-28,20000.0,20000.0,0
2025-03-31,20000.0,20000.0,0
2025-04-01,20000.0,20000.0,0
2025-04-02,20000.0,20000.0,0
2025-04-03,20000.0,20000.0,0
2025-04-04,20000.0,20000.0,0
2025-04-07,20000.0,20000.0,0
2025-04-08,20000.0,20000.0,0
2025-04-09,20000.0,20000.0,0
2025-04-10,20000.0,20000.0,0
2025-04-11,19997.0,18100.73,3
2025-04-14,19961.92,1441.0999999999992,30
2025-04-15,20011.869999999995,1441.0999999999992,30
2025-04-16,19416.56,1441.0999999999992,30
2025-04-17,19314.899999999998,1439.099999999999,30
2025-04-21,18803.82,1279.4899999999989,30
2025-04-22,19259.179999999997,1279.4899999999989,30
2025-04-23,19924.989999999994,1279.4899999999989,30
2025-04-24,20806.29,1279.4899999999989,30
2025-04-25,21142.94,1279.4899999999989,30
2025-04-28,21216.65,1279.4899999999989,30
2025-04-29,21194.469999999994,1279.4899999999989,30
2025-04-30,21119.079999999994,1213.769999999999,30
2025-05-01,21207.47,1213.769999999999,30
2025-05-02,21827.610000000004,1213.769999999999,30
2025-05-05,21489.31,1213.769999999999,30
2025-05-06,21108.599999999995,1218.9099999999992,30
2025-05-07,20913.710000000003,1076.6799999999994,30
2025-05-08,21748.170000000006,1076.6799999999994,30
2025-05-09,21725.059999999994,1109.2999999999993,30
2025-05-12,22635.96,1109.2999999999993,30
2025-05-13,22956.16,795.9199999999994,30
2025-05-14,23202.140000000003,795.9199999999994,30
2025-05-15,23071.379999999997,795.9199999999994,30
2025-05-16,24107.36999999999,795.9199999999994,30
2025-05-19,24073.89,795.9199999999994,30
2025-05-20,24405.740000000005,747.2799999999994,30
2025-05-21,23470.6,1082.5599999999995,30
2025-05-22,24067.92,1082.5599999999995,30
2025-05-23,23959.869999999995,1253.1199999999994,30
2025-05-27,24397.440000000002,1253.1199999999994,30
2025-05-28,24249.969999999998,1253.1199999999994,30
2025-05-29,23998.979999999996,2097.1599999999994,30
2025-05-30,23897.07,2152.99,30
2025-06-02,24128.92,2152.99,30
2025-06-03,24424.299999999996,2152.99,30
2025-06-04,24636.53,2152.99,30
2025-06-05,24186.71,2150.99,30
2025-06-06,25100.089999999997,2150.99,30
2025-06-09,25322.339999999997,2150.99,30
2025-06-10,25388.21,2192.2599999999998,30
2025-06-11,25564.485000000004,2192.2599999999998,30
2025-06-12,25287.89,2126.74,30
2025-06-13,24694.33,2560.58,30
2025-06-16,25558.450000000004,2560.58,30
2025-06-17,25197.880000000005,2560.58,30
2025-06-18,25384.920000000006,2560.58,30
2025-06-20,25356.739999999998,2560.58,30
2025-06-23,25318.309999999998,2576.08,30
2025-06-24,25893.120000000003,2576.08,30
2025-06-25,25830.879999999997,2576.08,30
2025-06-26,26251.58,2447.54,30
2025-06-27,26202.890000000007,2447.54,30
2025-06-30,26450.14,2447.54,30
2025-07-01,26195.950000000004,2403.29,30
2025-07-02,26652.510000000002,2403.29,30
2025-07-03,26910.44,2403.29,30
2025-07-07,26630.640000000007,2210.04,30
2025-07-08,26796.570000000003,2210.04,30
2025-07-09,26952.43,2210.04,30
2025-07-10,27032.730000000003,2210.04,30
2025-07-11,26659.545,1807.83,30
2025-07-14,26842.269999999997,1805.8299999999997,30
2025-07-15,26774.489999999998,1805.8299999999997,30
2025-07-16,27091.79,1805.8299999999997,30
2025-07-17,27763.149999999998,1805.8299999999997,30
2025-07-18,27641.99,1521.1799999999998,30
2025-07-21,27361.74,1778.3799999999999,30
2025-07-22,27230.429999999997,1833.1699999999996,30
2025-07-23,27811.389999999992,1831.1699999999994,30
2025-07-24,27640.010000000002,1829.1699999999994,30
2025-07-25,27807.82,1829.1699999999994,30
2025-07-28,27896.500000000004,1829.1699999999994,30
2025-07-29,27301.01,1738.1,30
2025-07-30,27256.75,1738.1,30
2025-07-31,26753.44,1323.78,30
2025-08-01,26004.725000000002,1305.4000000000005,30
2025-08-04,26536.700000000004,1305.4000000000005,30
2025-08-05,26748.93,1305.4000000000005,30
2025-08-06,26297.330000000005,1616.7500000000007,30
2025-08-07,26155.65,1511.5300000000007,30
2025-08-08,26309.549999999996,1511.5300000000007,30
2025-08-11,26217.600000000002,1407.6500000000005,30
2025-08-12,26664.159999999996,1407.6500000000005,30
2025-08-13,26909.409999999993,1407.6500000000005,30
2025-08-14,26599.840000000007,1407.6500000000005,30
2025-08-15,26606.349999999995,1407.6500000000005,30
2025-08-18,26742.995000000003,1407.6500000000005,30
2025-08-19,26161.99,1380.1600000000008,30
2025-08-20,25901.899999999994,1380.1600000000008,30
2025-08-21,25845.859999999997,1380.1600000000008,30
2025-08-22,26585.430000000008,1380.1600000000008,30
2025-08-25,26348.100000000002,1380.1600000000008,30
2025-08-26,26473.69,1380.1600000000008,30
2025-08-27,26532.820000000003,1380.1600000000008,30
2025-08-28,26795.969999999998,1329.2200000000007,30
2025-08-29,26453.55000000001,1329.2200000000007,30
2025-09-02,26135.970000000005,1018.0000000000005,30
2025-09-03,26108.04,1338.2600000000002,30
2025-09-04,26369.48000000001,1338.2600000000002,30
2025-09-05,26526.290000000005,1274.88,30
2025-09-08,26713.12,1274.88,30
2025-09-09,27202.979999999996,1274.88,30
2025-09-10,27290.320000000003,1274.88,30
2025-09-11,27662.13,1274.88,30
2025-09-12,27838.710000000003,1274.88,30
2025-09-15,28169.450000000004,1274.88,30
2025-09-16,28287.26,1274.88,30
2025-09-17,28532.120000000006,1274.88,30
2025-09-18,29011.78,1274.88,30
2025-09-19,29514.649999999998,1274.88,30
2025-09-22,29627.900000000005,1474.9800000000005,30
2025-09-23,29700.91,1474.9800000000005,30
2025-09-24,29524.149999999998,1291.1500000000003,30
2025-09-25,29017.199999999993,1219.9100000000003,30
2025-09-26,29091.769999999993,1219.9100000000003,30
2025-09-29,29156.910000000003,1112.4300000000003,30
2025-09-30,29221.060000000005,1036.7900000000004,30
2025-10-01,30062.979999999996,1036.7900000000004,30
2025-10-02,30559.14,967.1400000000003,30
2025-10-03,30880.359999999997,967.1400000000003,30
2025-10-06,31345.069999999996,967.1400000000003,30
2025-10-07,31259.960000000003,967.1400000000003,30
2025-10-08,31672.829999999994,1006.7800000000007,30
2025-10-09,31579.390000000007,1006.7800000000007,30
2025-10-10,29934.160000000003,656.3900000000009,30
2025-10-13,31161.49,1471.1900000000007,30
2025-10-14,31170.700000000004,1471.1900000000007,30
2025-10-15,31612.61,1471.1900000000007,30
2025-10-16,30884.67,1446.2900000000004,30
2025-10-17,30626.92,2452.6900000000005,30
2025-10-20,31010.0,2452.6900000000005,30
2025-10-21,30889.530000000006,2127.7400000000002,30
2025-10-22,30072.210000000003,1783.7199999999998,30
2025-10-23,30486.48,1781.7199999999998,30
2025-10-24,30909.89,1560.7799999999997,30
2025-10-27,31485.78,1560.7799999999997,30
2025-10-28,31199.300000000003,1417.1200000000001,30
2025-10-29,31306.850000000006,1266.9200000000003,30
2025-10-30,31015.09,1219.9600000000005,30
2025-10-31,31445.899999999994,1219.9600000000005,30
2025-11-03,31050.730000000007,1219.9600000000005,30
2025-11-04,29760.469999999998,933.3699999999999,30
2025-11-05,30165.68,761.81,30
2025-11-06,29390.659999999996,909.8599999999999,30
2025-11-07,29341.9,907.8599999999999,30
2025-11-10,30033.170000000002,907.8599999999999,30
2025-11-11,29958.569999999996,774.52,30
2025-11-12,29866.59,666.9199999999998,30
2025-11-13,28629.950000000004,163.31999999999903,30
2025-11-14,28524.520000000004,357.7499999999991,30
2025-11-17,28082.085000000003,3.5699999999991405,30
2025-11-18,27960.390000000003,407.2199999999996,30
2025-11-19,27690.78,303.5699999999996,30
2025-11-20,26447.029999999995,1237.9899999999993,30
2025-11-21,26788.69,1237.9899999999993,30
2025-11-24,27640.079999999998,1237.9899999999993,30
2025-11-25,27841.729999999996,1237.9899999999993,30
2025-11-26,28118.629999999997,1237.9899999999993,30
2025-11-28,28501.81,1237.9899999999993,30
2025-12-01,28073.719999999998,1237.9899999999993,30
2025-12-02,28209.74,1237.9899999999993,30
2025-12-03,28868.120000000003,1237.9899999999993,30
2025-12-04,29295.889999999996,1237.9899999999993,30
2025-12-05,29259.010000000002,1235.9899999999993,30
2025-12-08,29115.49,1235.9899999999993,30
2025-12-09,29060.86,1097.039999999999,30
2025-12-10,29157.27999999999,1012.6399999999992,30
2025-12-11,29175.090000000004,1012.6399999999992,30
2025-12-12,28833.939999999995,905.8399999999991,30
2025-12-15,28186.109999999997,743.7799999999986,30
2025-12-16,28246.21,660.8599999999986,30
2025-12-17,27459.620000000006,507.6899999999987,30
2025-12-18,28033.47,507.6899999999987,30
2025-12-19,28767.46,505.6899999999988,30
2025-12-22,29324.61999999999,505.6899999999988,30
2025-12-23,28914.009999999995,505.6899999999988,30
2025-12-24,28975.48,459.17999999999927,30
2025-12-26,28650.58,425.19999999999914,30
2025-12-29,28474.989999999998,425.19999999999914,30
2025-12-30,28219.39,969.1499999999992,30
2025-12-31,27988.239999999998,792.4199999999994,30
2026-01-02,28516.449999999997,790.4199999999993,30
2026-01-05,29334.129999999994,790.4199999999993,30
2026-01-06,29814.629999999997,790.4199999999993,30
2026-01-07,29688.63,790.4199999999993,30
2026-01-08,29702.21,790.4199999999993,30
2026-01-09,29568.019999999997,790.4199999999993,30
2026-01-12,29489.57,790.4199999999993,30
2026-01-13,29757.309999999998,478.4899999999993,30
2026-01-14,29551.509999999995,199.87999999999965,30
2026-01-15,29328.719999999998,9.729999999999563,30
2026-01-16,29667.18,9.729999999999563,30
