Symbol,Strategy,Trades,Winners,Losers,Win_Rate,PnL
MU,EMA,3,3,0,100.0,1055.3000000000002
AMD,KAMA,3,2,1,66.66666666666666,711.67
INOD,KAMA,11,4,7,36.36363636363637,612.0100000000002
SHOP,KAMA,1,1,0,100.0,504.3800000000001
AFRM,EMA,7,5,2,71.42857142857143,495.38
BABA,KAMA,4,2,2,50.0,306.7099999999999
TSLA,SMA,3,3,0,100.0,293.28000000000003
NIO,EMA,7,3,4,42.857142857142854,284.15999999999997
ORCL,SUPERTREND_HTF100,7,2,5,28.57142857142857,215.05000000000007
MRNA,KAMA_HTF50,8,3,5,37.5,125.11999999999998
AMZN,SUPERTREND,1,1,0,100.0,119.29000000000002
UBER,EMA,2,1,1,50.0,66.38000000000007
DRH,EMA,1,1,0,100.0,35.20000000000003
ARM,SMA_HTF50,6,2,4,33.33333333333333,32.99999999999997
NKE,SMA,4,1,3,25.0,14.56000000000006
JNJ,EMA,0,0,0,0.0,0.0
XLF,EMA_HTF50,0,0,0,0.0,0.0
QQQ,KAMA,0,0,0,0.0,0.0
VOO,KAMA,0,0,0,0.0,0.0
XLK,KAMA,0,0,0,0.0,0.0
SPY,KAMA,0,0,0,0.0,0.0
IWM,EMA,0,0,0,0.0,0.0
PYPL,JMA,3,1,2,33.33333333333333,-18.980000000000004
CRM,JMA,3,1,2,33.33333333333333,-65.25000000000003
SMCI,SUPERTREND_HTF100,9,3,6,33.33333333333333,-94.50999999999993
UPST,SMA,9,2,7,22.22222222222222,-100.09999999999997
PDYN,SUPERTREND,14,5,9,35.714285714285715,-183.92999999999995
UNH,JMA,6,1,5,16.666666666666664,-228.4099999999999
MSTR,SUPERTREND_HTF100,10,3,7,30.0,-528.9699999999999
LCID,SUPERTREND_HTF200,16,3,13,18.75,-735.76
