Symbol,Strategy,Entry_Date,Entry_Price,Quantity,Exit_Date,Exit_Price,Exit_Reason,PnL,PnL_Pct,Holding_Days
SHOP,KAMA,2025-04-11,83.71,7,2025-11-06,156.05,TRAILING_STOP,504.3800000000001,86.41739338191378,209
LCID,SUPERTREND_HTF200,2025-04-11,25.0,26,2025-05-07,22.5,TRAILING_STOP,-67.0,-10.0,26
DRH,EMA,2025-04-11,7.1,93,2025-10-10,7.5,TRAILING_STOP,35.20000000000003,5.633802816901413,182
XLK,KAMA,2025-04-14,100.08,6,,,,,,
VOO,KAMA,2025-04-14,495.48,1,,,,,,
SPY,KAMA,2025-04-14,539.12,1,,,,,,
AFRM,EMA,2025-04-14,40.78,16,2025-05-09,46.41,TRAILING_STOP,88.07999999999993,13.805787150563992,25
PDYN,SUPERTREND,2025-04-14,5.83,114,2025-06-13,7.96,TRAILING_STOP,240.82,36.53516295025729,60
AMD,KAMA,2025-04-14,94.5,7,2025-09-03,162.13,TRAILING_STOP,471.40999999999997,71.56613756613757,142
INOD,KAMA,2025-04-14,35.16,18,2025-04-21,29.68,TRAILING_STOP,-100.63999999999994,-15.585893060295783,7
UNH,JMA,2025-04-14,587.06,1,2025-04-17,454.11,TRAILING_STOP,-134.94999999999993,-22.646748202909404,3
QQQ,KAMA,2025-04-14,457.48,1,,,,,,
ORCL,SUPERTREND_HTF100,2025-04-14,134.64,4,2025-09-02,225.3,TRAILING_STOP,360.6400000000001,67.33511586452765,141
IWM,EMA,2025-04-14,186.53,3,,,,,,
MU,EMA,2025-04-14,71.02,9,2025-07-22,109.22,TRAILING_STOP,341.8,53.78766544635315,99
UBER,EMA,2025-04-14,73.1,9,2025-11-20,83.36,TRAILING_STOP,90.34000000000005,14.035567715458283,220
MSTR,SUPERTREND_HTF100,2025-04-14,311.45,2,2025-05-23,369.51,TRAILING_STOP,114.12,18.64183657087815,39
ARM,SMA_HTF50,2025-04-14,105.06,6,2025-07-14,144.54,TRAILING_STOP,234.87999999999994,37.578526556253564,91
SMCI,SUPERTREND_HTF100,2025-04-14,33.12,20,2025-04-30,31.86,TRAILING_STOP,-27.19999999999996,-3.8043478260869503,16
NKE,SMA,2025-04-14,55.41,12,2025-09-25,69.24,TRAILING_STOP,163.95999999999998,24.959393611261504,164
MRNA,KAMA_HTF50,2025-04-14,26.8,24,2025-05-06,24.43,TRAILING_STOP,-58.880000000000024,-8.843283582089557,22
CRM,JMA,2025-04-14,254.55,2,2025-08-01,250.74,TRAILING_STOP,-9.620000000000005,-1.4967589864466713,109
AMZN,SUPERTREND,2025-04-14,182.12,3,2025-11-18,222.55,TRAILING_STOP,119.29000000000002,22.19964858335164,218
BABA,KAMA,2025-04-14,113.97,5,2025-05-28,116.74,TRAILING_STOP,11.84999999999998,2.4304641572343564,44
XLF,EMA_HTF50,2025-04-14,47.15,14,,,,,,
PYPL,JMA,2025-04-14,62.27,10,2025-07-31,68.76,TRAILING_STOP,62.90000000000002,10.422354263690384,108
TSLA,SMA,2025-04-14,252.35,2,2025-06-05,284.7,TRAILING_STOP,62.69999999999999,12.819496730731125,52
UPST,SMA,2025-04-14,39.96,16,2025-05-20,46.64,TRAILING_STOP,104.88,16.716716716716714,36
JNJ,EMA,2025-04-14,154.36,4,,,,,,
NIO,EMA,2025-04-14,3.61,184,2025-05-27,3.69,TRAILING_STOP,12.720000000000013,2.2160664819944618,43
UNH,JMA,2025-04-17,454.11,1,2025-05-06,394.51,TRAILING_STOP,-61.60000000000002,-13.124573341260934,19
INOD,KAMA,2025-04-21,29.68,21,2025-05-09,34.62,TRAILING_STOP,101.73999999999995,16.644204851752015,18
SMCI,SUPERTREND_HTF100,2025-04-30,31.86,21,2025-05-23,40.09,TRAILING_STOP,170.8300000000001,25.8317639673572,23
UNH,JMA,2025-05-06,394.51,1,2025-05-13,311.38,TRAILING_STOP,-85.13,-21.07170920889204,7
MRNA,KAMA_HTF50,2025-05-06,24.43,28,2025-07-31,29.56,TRAILING_STOP,141.64,20.998772001637327,86
LCID,SUPERTREND_HTF200,2025-05-07,22.5,31,2025-05-23,25.6,TRAILING_STOP,94.10000000000005,13.777777777777784,16
AFRM,EMA,2025-05-09,46.41,15,2025-05-20,49.74,TRAILING_STOP,47.95000000000008,7.175177763413069,11
INOD,KAMA,2025-05-09,34.62,20,2025-06-10,43.27,TRAILING_STOP,171.0000000000001,24.985557481224742,32
UNH,JMA,2025-05-13,311.38,2,2025-07-18,282.65,TRAILING_STOP,-59.460000000000036,-9.226668379472033,66
AFRM,EMA,2025-05-20,49.74,15,2025-09-25,77.94,TRAILING_STOP,420.99999999999994,56.69481302774426,128
UPST,SMA,2025-05-20,46.64,16,2025-08-06,67.14,TRAILING_STOP,326.0,43.95368782161235,78
MSTR,SUPERTREND_HTF100,2025-05-23,369.51,1,2025-07-29,394.66,TRAILING_STOP,23.150000000000034,6.806311060593768,67
SMCI,SUPERTREND_HTF100,2025-05-23,40.09,18,2025-08-06,46.79,TRAILING_STOP,118.59999999999992,16.71239710651034,75
LCID,SUPERTREND_HTF200,2025-05-23,25.6,28,2025-05-30,22.3,TRAILING_STOP,-94.40000000000002,-12.890625000000004,7
NIO,EMA,2025-05-27,3.69,203,2025-09-10,5.72,TRAILING_STOP,410.09,55.013550135501355,106
BABA,KAMA,2025-05-28,116.74,6,2025-07-07,106.27,TRAILING_STOP,-64.82,-8.968648278225116,40
LCID,SUPERTREND_HTF200,2025-05-30,22.3,33,2025-07-29,25.6,TRAILING_STOP,106.90000000000002,14.79820627802691,60
TSLA,SMA,2025-06-05,284.7,2,2025-07-01,300.71,TRAILING_STOP,30.019999999999982,5.623463294696168,26
INOD,KAMA,2025-06-10,43.27,18,2025-07-24,46.31,TRAILING_STOP,52.719999999999985,7.025652877282179,44
PDYN,SUPERTREND,2025-06-13,7.96,95,2025-07-01,8.05,TRAILING_STOP,6.550000000000072,1.1306532663316677,18
PDYN,SUPERTREND,2025-07-01,8.05,100,2025-07-21,10.8,TRAILING_STOP,273.0,34.161490683229815,20
TSLA,SMA,2025-07-01,300.71,2,2025-11-13,401.99,TRAILING_STOP,200.56000000000006,33.68028998037978,135
BABA,KAMA,2025-07-07,106.27,7,2025-10-10,159.01,TRAILING_STOP,367.17999999999995,49.628305260186316,95
ARM,SMA_HTF50,2025-07-14,144.54,5,2025-07-31,141.38,TRAILING_STOP,-17.799999999999983,-2.186246021862458,17
UNH,JMA,2025-07-18,282.65,3,2025-07-31,249.56,TRAILING_STOP,-101.26999999999992,-11.707058199186266,13
PDYN,SUPERTREND,2025-07-21,10.8,79,2025-07-29,8.51,TRAILING_STOP,-182.91000000000008,-21.20370370370371,8
MU,EMA,2025-07-22,109.22,7,2025-11-20,201.37,TRAILING_STOP,643.0500000000001,84.370994323384,121
INOD,KAMA,2025-07-24,46.31,18,2025-08-01,44.955,TRAILING_STOP,-26.39000000000007,-2.925933923558635,8
PDYN,SUPERTREND,2025-07-29,8.51,101,2025-08-07,7.23,TRAILING_STOP,-131.27999999999994,-15.04112808460634,9
MSTR,SUPERTREND_HTF100,2025-07-29,394.66,2,2025-08-19,336.57,TRAILING_STOP,-118.18000000000006,-14.718998631733651,21
LCID,SUPERTREND_HTF200,2025-07-29,25.6,33,2025-08-06,21.85,TRAILING_STOP,-125.75,-14.6484375,8
UNH,JMA,2025-07-31,249.56,3,2025-11-06,321.56,TRAILING_STOP,214.0,28.850777368167975,98
